Date,Ticker,Open,High,Low,Close,Volume
2024-11-18,ADVANC.BK,256.1749595695442,257.0675552474869,252.60457685777357,255.28236389160156,3655500.0
2024-11-19,ADVANC.BK,255.28236851222078,256.1749642063195,252.60458142992476,253.49717712402344,4258900.0
2024-11-20,ADVANC.BK,254.38976206678024,255.28235772315492,251.71197509765625,251.71197509765625,4173500.0
2024-11-21,ADVANC.BK,254.3897682136589,261.5305336372002,254.3897682136589,255.28236389160156,5753400.0
2024-11-22,ADVANC.BK,255.28238728137163,260.6379618397221,252.6046000021964,257.9601745605469,9468900.0
2024-11-25,ADVANC.BK,259.74535306294763,259.74535306294763,256.1749702029758,257.06756591796875,6523800.0
2024-11-26,ADVANC.BK,257.06757777992493,257.06757777992493,251.71200324284314,252.60459899902344,5797100.0
2024-11-27,ADVANC.BK,251.71196206523854,253.49715328555936,249.92677084491768,250.81936645507812,4338000.0
2024-11-28,ADVANC.BK,250.81938550188826,255.28236389160156,249.9267898239456,255.28236389160156,4372800.0
2024-11-29,ADVANC.BK,253.4971596165707,256.17494651392883,252.604563984118,254.38975524902344,4717600.0
2024-12-02,ADVANC.BK,255.28236389160156,257.0675552474869,254.3897682136589,255.28236389160156,2811100.0
2024-12-03,ADVANC.BK,257.0675477723818,266.88609994424354,257.0675477723818,264.20831298828125,9576500.0
2024-12-04,ADVANC.BK,264.20834487862237,264.20834487862237,257.06757880082176,257.9601745605469,7597100.0
2024-12-06,ADVANC.BK,258.8527563062765,264.2083305746822,257.9601605948755,263.31573486328125,4127100.0
2024-12-09,ADVANC.BK,260.6379477290784,265.10092628608317,258.8527563062765,263.31573486328125,4253100.0
2024-12-11,ADVANC.BK,259.74536607999704,263.3157491188973,257.9601745605469,257.9601745605469,6583000.0
2024-12-12,ADVANC.BK,258.8527442852379,260.6379356251361,254.38976593549242,256.1749572753906,6915900.0
2024-12-13,ADVANC.BK,254.38976593549242,257.0675529453397,254.38976593549242,256.1749572753906,4637100.0
2024-12-16,ADVANC.BK,254.3897682136589,255.28236389160156,252.60457685777357,255.28236389160156,3685500.0
2024-12-17,ADVANC.BK,254.38978461809057,255.28238035359263,249.03421020507812,249.03421020507812,7877600.0
2024-12-18,ADVANC.BK,249.92678378490692,253.49716641040558,249.03418812853224,251.71197509765625,5374600.0
2024-12-19,ADVANC.BK,248.14159543670877,250.81938243782434,243.67861710151618,244.5712127685547,7435100.0
2024-12-20,ADVANC.BK,241.89342576743914,246.35640410263173,239.21563876632356,244.5712127685547,8562600.0
2024-12-23,ADVANC.BK,246.35641157123405,255.28236851222078,246.35641157123405,253.49717712402344,5399300.0
2024-12-24,ADVANC.BK,253.49717712402344,255.28236851222078,252.60458142992476,253.49717712402344,3781900.0
2024-12-25,ADVANC.BK,254.3897682136589,256.1749595695442,253.49717253571623,255.28236389160156,1681600.0
2024-12-26,ADVANC.BK,255.2823616054415,257.0675529453397,254.38976593549242,256.1749572753906,2295600.0
2024-12-27,ADVANC.BK,255.28238728137163,261.53055759944715,254.38979152164657,257.9601745605469,5168100.0
2024-12-30,ADVANC.BK,257.9601486152888,260.6379356251361,256.1749572753906,256.1749572753906,3429200.0
2025-01-02,ADVANC.BK,255.28235088147613,257.0675421463816,251.7119683516653,254.38975524902344,3018900.0
2025-01-03,ADVANC.BK,254.38975524902344,255.28235088147613,252.604563984118,254.38975524902344,3403700.0
2025-01-06,ADVANC.BK,254.38978702901937,255.28238277298084,248.14161682128906,248.14161682128906,4809700.0
2025-01-07,ADVANC.BK,249.03417523475727,253.49715328555936,249.03417523475727,250.81936645507812,5287600.0
2025-01-08,ADVANC.BK,250.81939004172742,254.3897728181221,249.92679434762874,253.49717712402344,5078700.0
2025-01-09,ADVANC.BK,251.71197343909222,251.71197343909222,242.78601693415987,246.3563995361328,9650100.0
2025-01-10,ADVANC.BK,249.03421597430227,252.60459899902344,244.57123719340078,252.60459899902344,4631600.0
2025-01-13,ADVANC.BK,249.92678378490692,253.49716641040558,249.92678378490692,251.71197509765625,3831500.0
2025-01-14,ADVANC.BK,253.49717712402344,255.28236851222078,251.7119857358261,253.49717712402344,4527100.0
2025-01-15,ADVANC.BK,253.49717026554333,256.1749572753906,248.14159624584875,256.1749572753906,7854200.0
2025-01-16,ADVANC.BK,256.17493538692077,258.85272216796875,253.49714860587284,258.85272216796875,6273800.0
2025-01-17,ADVANC.BK,257.96015559451683,259.7453469827142,253.49717712402344,253.49717712402344,7022200.0
2025-01-20,ADVANC.BK,254.38979051138404,255.28238626756433,251.71200324284314,252.60459899902344,2402400.0
2025-01-21,ADVANC.BK,252.60458734300403,257.06756591796875,251.71199162801108,257.06756591796875,3457800.0
2025-01-22,ADVANC.BK,255.28238728137163,258.85277032027193,255.28238728137163,257.9601745605469,3977500.0
2025-01-23,ADVANC.BK,256.17498202374463,257.06757777992493,252.60459899902344,252.60459899902344,5075300.0
2025-01-24,ADVANC.BK,254.38976593549242,256.1749572753906,253.49717026554333,256.1749572753906,3360600.0
2025-01-27,ADVANC.BK,254.38976593549242,257.9601486152888,254.38976593549242,256.1749572753906,2818700.0
2025-01-28,ADVANC.BK,257.96016163296173,260.63794877794055,255.28237448798288,257.06756591796875,5881200.0
2025-01-29,ADVANC.BK,257.0675421463816,258.852733411287,253.4971596165707,254.38975524902344,5319000.0
2025-01-30,ADVANC.BK,253.49717253571623,257.0675552474869,253.49717253571623,255.28236389160156,2157500.0
2025-01-31,ADVANC.BK,255.28236851222078,257.06755990041813,249.92679434762874,253.49717712402344,4726100.0
2025-02-03,ADVANC.BK,249.03421020507812,250.81940167608226,246.35642299857193,249.03421020507812,4830800.0
2025-02-04,ADVANC.BK,250.81940167608226,252.60459314708643,249.03421020507812,249.03421020507812,4490500.0
2025-02-05,ADVANC.BK,251.71196206523854,254.3897488957198,249.92677084491768,250.81936645507812,5935300.0
2025-02-06,ADVANC.BK,251.71197576349434,252.60457142223012,245.46380615234375,245.46380615234375,4739300.0
2025-02-07,ADVANC.BK,247.24898621695382,249.92677307128906,242.7860081263951,249.92677307128906,9770900.0
2025-02-10,ADVANC.BK,250.81940748666284,254.38979051138404,249.92681173048257,252.60459899902344,9866500.0
2025-02-11,ADVANC.BK,253.49717712402344,254.3897728181221,249.92679434762874,253.49717712402344,11073400.0
2025-02-13,ADVANC.BK,256.1749638005307,274.0268776542262,255.2823681078459,271.3490905761719,28394300.0
2025-02-14,ADVANC.BK,270.4564911194868,271.34908679974916,263.3157256773882,266.8861083984375,9535800.0
2025-02-17,ADVANC.BK,272.2416738561682,272.2416738561682,263.3157173362938,264.20831298828125,7556700.0
2025-02-18,ADVANC.BK,264.2083175555378,265.10091322295517,259.745339218451,262.4231262207031,7869000.0
2025-02-19,ADVANC.BK,263.31573486328125,265.9935219974841,260.6379477290784,263.31573486328125,8947300.0
2025-02-20,ADVANC.BK,262.1687589719523,262.1687589719523,257.6172180175781,257.6172180175781,10032100.0
2025-02-21,ADVANC.BK,256.7068816498443,263.0790382865426,254.8862654679305,260.3481140136719,8083300.0
2025-02-24,ADVANC.BK,260.3481140136719,261.2584221046288,255.79657355888742,260.3481140136719,6039800.0
2025-02-25,ADVANC.BK,258.5275065838645,259.4378147056387,251.24504160967112,252.1553497314453,9041500.0
2025-02-26,ADVANC.BK,253.06564855742874,262.1687294407895,252.15534046909266,259.43780517578125,8128400.0
2025-02-27,ADVANC.BK,259.4378021348838,260.34811021255,252.15533751355372,255.79656982421875,10390100.0
2025-02-28,ADVANC.BK,252.15534901273423,253.06565713191378,248.51411653601608,251.2450408935547,14586300.0
2025-03-03,ADVANC.BK,253.06565344553593,254.88626965737433,245.78318859818236,246.69349670410156,8261500.0
2025-03-04,ADVANC.BK,245.78318638588067,247.60380258133162,242.14195399497873,243.9625701904297,9743100.0
2025-03-05,ADVANC.BK,245.78318932477166,252.1553460850435,243.96257310755112,247.6038055419922,8877900.0
2025-03-06,ADVANC.BK,248.51411510383994,250.3347313317069,245.7831907620395,249.42442321777344,7640500.0
2025-03-07,ADVANC.BK,249.42442321777344,251.24503944564037,246.69349887597298,249.42442321777344,6830800.0
2025-03-10,ADVANC.BK,247.60380258133162,248.51411067905713,243.9625701904297,243.9625701904297,3706000.0
2025-03-11,ADVANC.BK,243.05227864583333,248.51412760416667,240.32135416666668,245.783203125,7579300.0
2025-03-12,ADVANC.BK,246.69349221283534,248.51410839152786,241.2316436767578,241.2316436767578,7319600.0
2025-03-13,ADVANC.BK,243.05226282736623,246.69349522927436,243.05226282736623,244.8728790283203,3267900.0
2025-03-14,ADVANC.BK,244.87289291553282,246.69350921973754,243.05227661132812,243.05227661132812,3704700.0
2025-03-17,ADVANC.BK,243.96257908648045,244.87288721740015,235.76980590820312,235.76980590820312,8331600.0
2025-03-18,ADVANC.BK,239.41102600097656,243.05225833559217,236.68010175001484,239.41102600097656,6371200.0
2025-03-19,ADVANC.BK,240.32133633032777,243.9625686989691,238.5007201460071,242.14195251464844,6287100.0
2025-03-20,ADVANC.BK,244.87287679112944,246.6934929754501,241.2316444224881,242.14195251464844,7067800.0
2025-03-21,ADVANC.BK,242.14195399497873,243.9625701904297,237.5904135063513,243.9625701904297,10847800.0
2025-03-24,ADVANC.BK,243.05226642023908,250.3347313317069,242.14195830630558,249.42442321777344,4039200.0
2025-03-25,ADVANC.BK,248.5141006747159,250.334716796875,246.6934845525568,250.334716796875,5286000.0
2025-03-26,ADVANC.BK,251.24503797643322,253.06565419365376,247.6038055419922,247.6038055419922,3712200.0
